epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,520.372,1.22777,1.9,0.01033,0.98707,0.98436,0.9934,0.68636,0.50322,0.14813,0.00622,0.00997963,0.00332654,0.00997963,0.00332654,0.00997963,0.00332654,0.00997963,0.00332654
2,636.396,1.17211,0.46752,0.00988,0.95848,0.93519,0.98295,0.72228,0.43663,0.14873,0.00577,0.0197818,0.00659395,0.0197818,0.00659395,0.0197818,0.00659395,0.0197818,0.00659395
3,744.718,1.23944,0.54076,0.01031,0.92601,0.93738,0.97958,0.65423,0.48926,0.28219,0.00664,0.029386,0.00979535,0.029386,0.00979535,0.029386,0.00979535,0.029386,0.00979535
4,850.11,1.23931,0.49087,0.01038,0.96664,0.96045,0.99064,0.59737,0.57634,0.29157,0.00756,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,955.448,1.19806,0.4384,0.01002,0.9761,0.9778,0.99322,0.69954,0.48306,0.15155,0.00628,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1060.76,1.16895,0.41403,0.00976,0.95717,0.97974,0.98773,0.71291,0.44093,0.18583,0.00566,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1166.46,1.14648,0.40767,0.00968,0.98014,0.96869,0.99269,0.65823,0.52489,0.16318,0.00706,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1272.14,1.11012,0.38012,0.00917,0.96103,0.96685,0.99158,0.68514,0.49272,0.19801,0.00639,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1377.49,1.09003,0.3639,0.00901,0.9575,0.9542,0.98602,0.72192,0.41696,0.16931,0.00552,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1482.79,1.0609,0.35543,0.00874,0.98864,0.9615,0.99276,0.72783,0.44633,0.1297,0.00599,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1588.57,1.06074,0.34445,0.00864,0.98634,0.97422,0.99403,0.7119,0.46708,0.1255,0.00638,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1694.06,1.05763,0.33665,0.00871,0.97536,0.98895,0.99425,0.73185,0.4295,0.13212,0.00573,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1799.89,1.03457,0.33175,0.00852,0.98718,0.99242,0.99414,0.73416,0.4331,0.1129,0.00557,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1905.68,1.02664,0.33433,0.00842,0.98363,0.99569,0.99457,0.7447,0.41463,0.1058,0.00544,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2011.18,1.02349,0.31856,0.00829,0.9922,0.97974,0.99418,0.71795,0.46731,0.12071,0.00613,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2116.69,1.01409,0.31965,0.00829,0.98554,0.98158,0.9946,0.73524,0.44449,0.11354,0.00588,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2222.13,1.00982,0.32124,0.0082,0.99411,0.98158,0.9946,0.7454,0.43245,0.11522,0.00579,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2327.44,0.9925,0.31426,0.00804,0.96946,0.99368,0.99177,0.74902,0.40711,0.11426,0.00536,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2432.55,0.98382,0.31082,0.00797,0.97837,0.98895,0.9942,0.72459,0.46193,0.12333,0.0062,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2537.79,0.97709,0.30791,0.0079,0.98992,0.99263,0.99457,0.69649,0.46979,0.12863,0.00626,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2643.13,0.96734,0.31927,0.00787,0.98833,0.98158,0.9943,0.73062,0.43145,0.11551,0.0057,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2748.6,0.96333,0.30304,0.00773,0.99919,0.96685,0.99383,0.7361,0.43526,0.12117,0.00574,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
